2025-11-18 22:31:15.947976 | Algo: MLQ | Count: 3
2025-11-18 22:31:29.496913 | Algo: MLFQ | Count: 3
2025-11-18 22:31:44.960166 | Algo: FCFS | Count: 3
2025-11-18 22:31:47.861701 | Algo: FCFS | Count: 3
2025-11-18 22:38:32.509659 | Algo: FCFS | Count: 3
2025-11-18 23:35:26.305157 | Algo: PRIORITY | Count: 3
2025-11-18 23:37:33.864107 | Algo: MLQ | Count: 6
2025-11-18 23:45:20.359778 | Algo: MLQ | Count: 11
2025-11-19 00:02:02.906928 | Algo: MLQ | Count: 5
2025-11-19 00:16:01.373499 | Algo: MLQ | Count: 6
2025-11-19 00:18:18.866395 | Algo: MLFQ | Count: 4
2025-11-19 00:31:36.846291 | Algo: MLFQ | Count: 5
